"LOCATION","Region","TIME","Time","Value","Flag Codes","Flags"
"OAM","Other OECD America","1990","1990",0.233,,
"OAM","Other OECD America","1991","1991",0.242,,
"OAM","Other OECD America","1992","1992",0.253,,
"OAM","Other OECD America","1993","1993",0.262,,
"OAM","Other OECD America","1994","1994",0.276,,
"OAM","Other OECD America","1995","1995",0.286,,
"OAM","Other OECD America","1996","1996",0.298,,
"OAM","Other OECD America","1997","1997",0.313,,
"OAM","Other OECD America","1998","1998",0.325,,
"OAM","Other OECD America","1999","1999",0.341,,
"OAM","Other OECD America","2000","2000",0.355,,
"OAM","Other OECD America","2001","2001",0.365,,
"OAM","Other OECD America","2002","2002",0.381,,
"OAM","Other OECD America","2003","2003",0.394,,
"OAM","Other OECD America","2004","2004",0.41,,
"OAM","Other OECD America","2005","2005",0.421,,
"OAM","Other OECD America","2006","2006",0.436,,
"OAM","Other OECD America","2007","2007",0.452,,
"OAM","Other OECD America","2008","2008",0.449,,
"OAM","Other OECD America","2009","2009",0.456,,
"OAM","Other OECD America","2010","2010",0.475,,
"OAM","Other OECD America","2011","2011",0.484,,
"OAM","Other OECD America","2012","2012",0.489,,
"OAM","Other OECD America","2013","2013",0.498,,
"OAM","Other OECD America","2014","2014",0.497,,
"OAM","Other OECD America","2015","2015",0.526,,
"OAM","Other OECD America","2016","2016",0.531,,
"OAM","Other OECD America","2017","2017",0.535,,
"OAM","Other OECD America","2018","2018",0.55,,
"OAM","Other OECD America","2019","2019",0.554,,
"O22","OECD EU ","1990","1990",0.794,,
"O22","OECD EU ","1991","1991",0.807,,
"O22","OECD EU ","1992","1992",0.824,,
"O22","OECD EU ","1993","1993",0.834,,
"O22","OECD EU ","1994","1994",0.858,,
"O22","OECD EU ","1995","1995",0.865,,
"O22","OECD EU ","1996","1996",0.88,,
"O22","OECD EU ","1997","1997",0.898,,
"O22","OECD EU ","1998","1998",0.907,,
"O22","OECD EU ","1999","1999",0.923,,
"O22","OECD EU ","2000","2000",0.933,,
"O22","OECD EU ","2001","2001",0.93,,
"O22","OECD EU ","2002","2002",0.937,,
"O22","OECD EU ","2003","2003",0.936,,
"O22","OECD EU ","2004","2004",0.937,,
"O22","OECD EU ","2005","2005",0.925,,
"O22","OECD EU ","2006","2006",0.919,,
"O22","OECD EU ","2007","2007",0.911,,
"O22","OECD EU ","2008","2008",0.867,,
"O22","OECD EU ","2009","2009",0.84,,
"O22","OECD EU ","2010","2010",0.828,,
"O22","OECD EU ","2011","2011",0.801,,
"O22","OECD EU ","2012","2012",0.767,,
"O22","OECD EU ","2013","2013",0.736,,
"O22","OECD EU ","2014","2014",0.692,,
"O22","OECD EU ","2015","2015",0.656,,
"O22","OECD EU ","2016","2016",0.618,,
